Date,Temperature (°C),Humidity (%)
2025-06-09 17:40:01,17.32,95.5
2025-06-09 17:50:01,17.12,96.4
2025-06-09 18:00:01,17.02,96.5
2025-06-09 18:10:01,17.02,96.8
2025-06-09 18:20:01,17.02,96.6
2025-06-09 18:30:01,17.52,96.7
2025-06-09 18:40:01,17.72,94.8
2025-06-09 18:50:01,17.82,93.4
2025-06-09 19:00:01,17.82,93.6
2025-06-09 19:10:01,17.72,93.5
2025-06-09 19:20:01,17.52,94.2
2025-06-09 19:30:01,17.42,94.4
2025-06-09 19:40:01,17.32,94.9
2025-06-09 19:50:01,17.22,95.3
2025-06-09 20:00:01,17.22,95.4
2025-06-09 20:10:01,17.22,95.7
2025-06-09 20:20:01,17.22,96.1
2025-06-09 20:30:01,17.12,96.3
2025-06-09 20:40:01,17.12,96
2025-06-09 20:50:01,17.02,96.5
2025-06-09 21:00:01,16.92,96.1
2025-06-09 21:10:01,16.83,96.3
2025-06-09 21:20:01,16.83,96.5
2025-06-09 21:30:01,16.73,96.6
2025-06-09 21:40:01,16.73,96.9
2025-06-09 21:50:01,16.63,96.8
2025-06-09 22:00:01,16.63,96.7
2025-06-09 22:10:01,16.53,96.7
2025-06-09 22:20:01,16.53,97.4
2025-06-09 22:30:01,16.53,97.8
2025-06-09 22:40:01,16.43,98.1
2025-06-09 22:50:01,16.43,98.6
2025-06-09 23:00:01,16.53,100.2
2025-06-09 23:10:01,16.63,100.7
2025-06-09 23:20:01,16.63,101.4
2025-06-09 23:30:01,16.63,101.4
2025-06-09 23:40:01,16.73,101.8
2025-06-09 23:50:01,16.83,102.1
2025-06-10 00:00:01,16.92,102.4
2025-06-10 00:10:01,17.02,102.5
2025-06-10 00:20:01,17.02,102.5
2025-06-10 00:30:01,17.12,102.4
2025-06-10 00:40:01,17.12,102.4
2025-06-10 00:50:01,17.22,102.6
2025-06-10 01:00:01,17.32,102.6
2025-06-10 01:10:01,17.32,102.7
2025-06-10 01:20:01,17.32,102.7
2025-06-10 01:30:01,17.32,102.6
2025-06-10 01:40:01,17.32,102.1
2025-06-10 01:50:01,17.22,101.1
2025-06-10 02:00:01,17.22,100.9
2025-06-10 02:10:01,17.12,101.2
2025-06-10 02:20:01,17.02,100.7
2025-06-10 02:30:01,16.92,100.7
2025-06-10 02:40:01,16.92,101.1
2025-06-10 02:50:01,16.83,101.1
2025-06-10 03:00:01,16.83,101.3
